bmac_can_receive enabled=0 waiting=0
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x0 size=2
bmac_reg_write addr=0x190 val=0x9 size=2
bmac_reg_write addr=0x190 val=0xb size=2
bmac_reg_write addr=0x190 val=0x9 size=2
bmac_reg_write addr=0x190 val=0x9 size=2
bmac_reg_write addr=0x190 val=0xb size=2
bmac_reg_write addr=0x190 val=0x9 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x9 size=2
bmac_reg_write addr=0x190 val=0xb size=2
bmac_reg_write addr=0x190 val=0x9 size=2
bmac_reg_write addr=0x190 val=0x9 size=2
bmac_reg_write addr=0x190 val=0xb size=2
bmac_reg_write addr=0x190 val=0x9 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
